cate,suite,bench,duration
trace_enhance_expanded,parboil,sgemm,635
trace_enhance_expanded,parboil,stencil,3654
trace_enhance_expanded,parboil,tpacf,155574
trace_enhance_expanded,parboil,sad,78242
trace_base_expanded,polybench_gpu,gemm,19294
trace_base_expanded,polybench_gpu,3dconv,803
trace_base_expanded,polybench_gpu,covar,5911
trace_base_expanded,polybench_gpu,fdtd2d,33119
trace_base_expanded,polybench_gpu,bicg,619
trace_base_expanded,polybench_gpu,mvt,780
trace_base_expanded,polybench_gpu,corr,19914
trace_base_expanded,polybench_gpu,syrk,2590
trace_base_expanded,polybench_gpu,gesummv,234
trace_base_expanded,polybench_gpu,atax,601
trace_base_expanded,polybench_gpu,syr2k,3968
trace_base_expanded,polybench_gpu,2dconv,4910
trace_base_expanded,parboil,histo,7989
trace_base_expanded,parboil,mri-g,70894
trace_base_expanded,parboil,spmv,80
trace_base_expanded,parboil,lbm,43412
trace_base_expanded,parboil,mri-q,110914
trace_base_expanded,parboil,cutcp,24125
trace_base_expanded,parboil,bfs,837
trace_base_expanded,parboil,sgemm,469
trace_base_expanded,parboil,stencil,1458
trace_base_expanded,parboil,tpacf,154920
trace_base_expanded,parboil,sad,14800
model_modify,polybench_gpu,gemm,73
model_modify,polybench_gpu,3dconv,21
model_modify,polybench_gpu,covar,2828
model_modify,polybench_gpu,fdtd2d,111
model_modify,polybench_gpu,bicg,721
model_modify,polybench_gpu,mvt,722
model_modify,polybench_gpu,corr,7195
model_modify,polybench_gpu,syrk,127
model_modify,polybench_gpu,gesummv,281
model_modify,polybench_gpu,atax,718
model_modify,polybench_gpu,syr2k,225
model_modify,polybench_gpu,2dconv,66
model_modify,parboil,histo,720
model_modify,parboil,mri-g,212
model_modify,parboil,spmv,24
model_modify,parboil,lbm,140
model_modify,parboil,mri-q,63
model_modify,parboil,cutcp,519
model_modify,parboil,bfs,330
model_modify,parboil,sgemm,86
model_modify,parboil,stencil,457
model_modify,parboil,tpacf,75
model_modify,parboil,sad,1091
model_enhance,polybench_gpu,gemm,75
model_enhance,polybench_gpu,3dconv,11
model_enhance,polybench_gpu,covar,2185
model_enhance,polybench_gpu,fdtd2d,104
model_enhance,polybench_gpu,bicg,747
model_enhance,polybench_gpu,mvt,778
model_enhance,polybench_gpu,corr,6687
model_enhance,polybench_gpu,syrk,120
model_enhance,polybench_gpu,gesummv,314
model_enhance,polybench_gpu,atax,771
model_enhance,polybench_gpu,syr2k,215
model_enhance,polybench_gpu,2dconv,65
model_enhance,parboil,histo,639
model_enhance,parboil,mri-g,167
model_enhance,parboil,spmv,25
model_enhance,parboil,lbm,109
model_enhance,parboil,mri-q,46
model_enhance,parboil,cutcp,354
model_enhance,parboil,bfs,524
model_enhance,parboil,sgemm,94
model_enhance,parboil,stencil,711
model_enhance,parboil,tpacf,82
model_enhance,parboil,sad,1032
